Date;;Rachel / Papineau;Berri1;Maisonneuve_2;Maisonneuve_1;Brébeuf;Parc;PierDup;CSC (Côte Sainte-Catherine);Pont_Jacques_Cartier
01/01/2012;00:00;16;35;51;38;5;26;10;0;27
02/01/2012;00:00;43;83;153;68;11;53;6;1;21
03/01/2012;00:00;58;135;248;104;2;89;3;2;15
04/01/2012;00:00;61;144;318;116;2;111;8;1;19
05/01/2012;00:00;95;197;330;124;6;97;13;2;16
06/01/2012;00:00;75;146;244;98;4;86;4;0;17
07/01/2012;00:00;54;98;108;80;5;53;6;2;9
08/01/2012;00:00;63;95;98;62;13;64;11;1;23
09/01/2012;00:00;173;244;432;165;9;198;12;2;23
10/01/2012;00:00;241;397;563;238;6;275;18;3;46
11/01/2012;00:00;194;273;443;182;7;258;12;0;20
12/01/2012;00:00;63;157;261;134;3;137;9;1;15
13/01/2012;00:00;0;75;105;41;4;64;2;0;1
14/01/2012;00:00;1;32;56;54;0;19;0;0;3
15/01/2012;00:00;0;54;60;33;0;18;0;0;2
16/01/2012;00:00;0;168;312;136;8;137;1;2;1
17/01/2012;00:00;0;155;256;86;4;74;0;0;1
18/01/2012;00:00;0;139;188;66;2;68;3;0;20
19/01/2012;00:00;0;191;248;104;46;79;3;1;5
20/01/2012;00:00;1;161;217;96;4;67;1;4;13
21/01/2012;00:00;0;53;70;47;11;32;1;0;5
22/01/2012;00:00;0;71;73;41;20;35;5;0;29
23/01/2012;00:00;0;210;357;114;22;91;6;6;37
24/01/2012;00:00;0;299;444;189;9;174;4;1;20
25/01/2012;00:00;0;334;453;217;16;180;4;1;28
26/01/2012;00:00;1;306;495;215;3;191;0;0;21
27/01/2012;00:00;0;91;204;79;11;65;0;5;186
28/01/2012;00:00;1;80;123;61;3;33;9;1;34
29/01/2012;00:00;0;87;132;65;6;40;7;1;20
30/01/2012;00:00;0;219;371;146;6;152;2;0;38
31/01/2012;00:00;0;186;324;109;7;122;0;1;4
01/02/2012;00:00;0;138;271;100;10;71;5;0;4
02/02/2012;00:00;2;217;345;134;7;128;2;5;4
03/02/2012;00:00;1;174;301;103;2;111;1;1;8
04/02/2012;00:00;0;84;119;53;16;44;8;0;59
05/02/2012;00:00;0;72;133;46;11;54;7;0;58
06/02/2012;00:00;0;248;425;136;5;167;10;1;19
07/02/2012;00:00;0;316;516;209;12;225;9;0;22
08/02/2012;00:00;1;271;503;202;6;215;4;0;27
09/02/2012;00:00;0;342;471;227;6;231;11;0;24
10/02/2012;00:00;2;303;478;206;13;216;6;1;10
11/02/2012;00:00;0;71;112;63;12;49;3;0;22
12/02/2012;00:00;0;78;91;36;4;53;5;0;7
13/02/2012;00:00;0;211;408;175;13;207;4;0;3
14/02/2012;00:00;1;318;504;186;6;243;9;0;11
15/02/2012;00:00;1;307;491;180;8;232;5;0;26
16/02/2012;00:00;0;386;569;212;3;295;10;1;16
17/02/2012;00:00;1;332;496;237;15;260;11;3;6
18/02/2012;00:00;0;220;280;159;7;134;30;1;68
19/02/2012;00:00;2;169;205;110;7;113;13;3;38
20/02/2012;00:00;10;303;470;224;17;243;14;2;30
21/02/2012;00:00;6;441;503;292;12;286;10;5;10
22/02/2012;00:00;3;375;501;263;7;264;12;10;29
23/02/2012;00:00;13;397;528;293;12;329;22;10;21
24/02/2012;00:00;13;243;313;187;13;137;4;4;25
25/02/2012;00:00;5;62;52;48;1;18;2;0;2
26/02/2012;00:00;0;78;47;76;2;35;4;0;14
27/02/2012;00:00;5;119;298;94;9;134;3;4;8
28/02/2012;00:00;3;195;350;158;22;168;9;0;12
29/02/2012;00:00;4;242;446;164;15;190;7;0;11
01/03/2012;00:00;14;92;199;56;46;63;0;0;14
02/03/2012;00:00;1;143;283;56;31;77;7;0;2
03/03/2012;00:00;0;82;133;65;2;47;2;0;12
04/03/2012;00:00;0;107;138;79;0;60;15;2;6
05/03/2012;00:00;2;155;363;114;88;157;8;1;6
06/03/2012;00:00;0;269;437;192;4;170;10;0;11
07/03/2012;00:00;0;438;715;290;7;266;28;3;35
08/03/2012;00:00;9;348;530;238;2;270;9;6;34
09/03/2012;00:00;38;371;575;279;9;268;8;8;23
10/03/2012;00:00;58;182;296;162;16;165;0;13;89
11/03/2012;00:00;285;380;540;253;12;289;0;60;163
12/03/2012;00:00;548;802;1265;618;12;747;0;179;145
13/03/2012;00:00;325;442;769;321;9;425;0;145;72
14/03/2012;00:00;336;469;739;313;11;451;0;146;96
15/03/2012;00:00;565;724;1021;562;10;631;63;244;427
16/03/2012;00:00;422;423;695;305;16;419;9;149;234
17/03/2012;00:00;1008;681;872;422;13;468;334;287;637
18/03/2012;00:00;2477;1940;1923;1036;162;1021;1128;856;23092
19/03/2012;00:00;2058;1821;2581;1278;104;1609;506;1024;12593
20/03/2012;00:00;2609;2481;3130;1709;243;1955;762;1261;1569
21/03/2012;00:00;2846;2829;3510;1893;283;2225;993;1558;1834
22/03/2012;00:00;2254;2195;2654;1640;150;1958;548;1030;1360
23/03/2012;00:00;2325;2115;2955;1512;125;1791;663;1143;1270
24/03/2012;00:00;1035;753;1001;517;54;635;277;336;481
25/03/2012;00:00;723;520;691;309;49;427;145;243;264
26/03/2012;00:00;1168;968;1493;729;105;965;130;564;477
27/03/2012;00:00;1207;1049;1576;774;75;972;163;517;450
28/03/2012;00:00;529;435;709;329;35;486;28;179;176
29/03/2012;00:00;937;878;1264;646;88;807;78;406;377
30/03/2012;00:00;1288;1157;1596;910;146;957;196;529;594
31/03/2012;00:00;1370;980;1083;587;175;706;524;499;656
01/04/2012;00:00;1086;662;824;442;242;471;168;341;374
02/04/2012;00:00;2122;1937;2853;1537;1260;1614;394;967;1065
03/04/2012;00:00;2450;2416;3556;1791;1511;1880;513;1078;1235
04/04/2012;00:00;2242;2211;2956;1674;1161;1666;274;933;911
05/04/2012;00:00;2463;2424;3273;1823;1281;1699;355;1036;1030
06/04/2012;00:00;2138;1633;1913;1045;1100;975;621;650;876
07/04/2012;00:00;1566;1208;1445;739;716;709;598;494;622
08/04/2012;00:00;1533;1164;1333;621;786;704;792;560;761
09/04/2012;00:00;1001;828;1048;560;412;605;65;298;230
10/04/2012;00:00;2108;2183;2932;1588;1174;1736;252;909;875
11/04/2012;00:00;2311;2328;3122;1765;1333;1843;330;1049;966
12/04/2012;00:00;3213;3064;4076;2306;1646;2280;590;1483;1474
13/04/2012;00:00;3728;3341;4465;2565;1916;2358;922;1505;1689
14/04/2012;00:00;3428;2890;2994;1639;1792;1594;1284;1072;1345
15/04/2012;00:00;3604;2554;2954;1637;1810;1559;1846;1210;1403
16/04/2012;00:00;3616;3643;4830;2723;2081;2677;1061;1841;1679
17/04/2012;00:00;3333;3539;4592;2636;1740;2450;544;1616;1439
18/04/2012;00:00;3542;3570;4655;2759;1852;2534;706;1751;1631
19/04/2012;00:00;3929;4231;5311;3235;2222;2877;1206;2010;1964
20/04/2012;00:00;2065;2087;2922;1529;869;1531;170;800;597
21/04/2012;00:00;755;533;710;398;311;408;50;212;199
22/04/2012;00:00;1779;1853;1331;1224;761;654;198;487;427
23/04/2012;00:00;846;623;1076;544;369;612;27;315;221
24/04/2012;00:00;1753;1810;2379;1355;888;1286;188;720;565
25/04/2012;00:00;2454;2966;3444;2228;1188;1800;445;1023;972
26/04/2012;00:00;2438;2751;3546;2196;1193;1789;381;1069;1037
27/04/2012;00:00;1899;1986;2586;1526;875;1298;139;743;551
28/04/2012;00:00;2323;1684;1908;1190;929;931;523;628;710
29/04/2012;00:00;2493;1970;2077;1212;1152;1062;702;765;915
30/04/2012;00:00;3541;3610;4675;2825;1885;2446;851;1572;1689
01/05/2012;00:00;1960;1986;2766;1722;1020;1516;195;815;763
