PlayerName,Minute,IdMatch,Type,TeamName,OppositionTeamName,Position,IsCaptain,GoalKeeperName,PlayerShirtNumber
Iury GAZINSKY,12',300331503,2,Russia,Saudi Arabia,2,False,ABDULLAH ALMUAIOUF,8
Denis CHERYSHEV,43',300331503,2,Russia,Saudi Arabia,2,False,ABDULLAH ALMUAIOUF,6
Artem DZYUBA,71',300331503,2,Russia,Saudi Arabia,3,False,ABDULLAH ALMUAIOUF,22
Denis CHERYSHEV,90'+1',300331503,2,Russia,Saudi Arabia,2,False,ABDULLAH ALMUAIOUF,6
Aleksandr GOLOVIN,90'+4',300331503,2,Russia,Saudi Arabia,2,False,ABDULLAH ALMUAIOUF,17
Jose GIMENEZ,89',300353632,2,Uruguay,Egypt,1,False,MOHAMED ELSHENAWY,2
Aziz BOUHADDOUZ,90'+5',300331526,3,IR Iran,Morocco,3,False,,20
CRISTIANO RONALDO,4',300331524,1,Portugal,Spain,3,True,David DE GEA,7
CRISTIANO RONALDO,44',300331524,2,Portugal,Spain,3,True,David DE GEA,7
CRISTIANO RONALDO,88',300331524,2,Portugal,Spain,3,True,David DE GEA,7
Diego COSTA,24',300331524,2,Spain,Portugal,3,False,RUI PATRICIO,19
Diego COSTA,55',300331524,2,Spain,Portugal,3,False,RUI PATRICIO,19
NACHO,58',300331524,2,Spain,Portugal,1,False,RUI PATRICIO,4
Antoine GRIEZMANN,58',300331533,1,France,Australia,3,False,Mathew RYAN,7
Aziz BEHICH,81',300331533,3,France,Australia,1,False,,16
Mile JEDINAK,62',300331533,1,Australia,France,2,True,Hugo LLORIS,15
Sergio AGUERO,19',300331515,2,Argentina,Iceland,3,False,Hannes HALLDORSSON,19
Alfred FINNBOGASON,23',300331515,2,Iceland,Argentina,3,False,Wilfredo CABALLERO,11
Yussuf Yurary POULSEN,59',300331528,2,Denmark,Peru,3,False,Pedro GALLESE,20
Oghenekaro ETEBO,32',300331523,3,Croatia,Nigeria,2,False,,8
Luka MODRIC,71',300331523,1,Croatia,Nigeria,2,True,Francis UZOHO,10
Aleksandar KOLAROV,56',300331529,2,Serbia,Costa Rica,1,True,Keylor NAVAS,11
Hirving  LOZANO,35',300331502,2,Mexico,Germany,3,False,Manuel NEUER,22
PHILIPPE COUTINHO,20',300331525,2,Brazil,Switzerland,2,False,Yann SOMMER,11
Steven ZUBER,50',300331525,2,Switzerland,Brazil,2,False,ALISSON,14
Andreas GRANQVIST,65',300331499,1,Sweden,Korea Republic,1,True,JO Hyeonwoo,4
Dries MERTENS,47',300331539,2,Belgium,Panama,3,False,Jaime PENEDO,14
Romelu LUKAKU,69',300331539,2,Belgium,Panama,3,False,Jaime PENEDO,9
Romelu LUKAKU,75',300331539,2,Belgium,Panama,3,False,Jaime PENEDO,9
Ferjani SASSI,35',300331554,1,Tunisia,England,2,False,Jordan PICKFORD,13
Harry KANE,11',300331554,2,England,Tunisia,3,True,Mouez HASSEN,9
Harry KANE,90'+1',300331554,2,England,Tunisia,3,True,Farouk BEN MUSTAPHA,9
Juan QUINTERO,39',300331550,2,Colombia,Japan,2,False,Eiji KAWASHIMA,20
Shinji KAGAWA,6',300331550,1,Japan,Colombia,2,False,David OSPINA,10
Yuya OSAKO,73',300331550,2,Japan,Colombia,3,False,David OSPINA,15
Grzegorz KRYCHOWIAK,86',300331545,2,Poland,Senegal,2,False,Khadim NDIAYE,10
Thiago CIONEK,37',300331545,3,Senegal,Poland,1,False,,4
Mbaye NIANG,60',300331545,2,Senegal,Poland,3,False,Wojciech SZCZESNY,19
AHMED FATHI,47',300331495,3,Russia,Egypt,1,True,,7
Denis CHERYSHEV,59',300331495,2,Russia,Egypt,2,False,MOHAMED ELSHENAWY,6
Artem DZYUBA,62',300331495,2,Russia,Egypt,3,False,MOHAMED ELSHENAWY,22
MOHAMED SALAH,73',300331495,1,Egypt,Russia,3,False,Igor AKINFEEV,10
CRISTIANO RONALDO,4',300331511,2,Portugal,Morocco,3,True,Monir EL KAJOUI,7
Luis SUAREZ,23',300331530,2,Uruguay,Saudi Arabia,3,False,MOHAMMED ALOWAIS,9
Diego COSTA,54',300331496,2,Spain,IR Iran,3,False,Ali BEIRANVAND,19
Christian ERIKSEN,7',300331518,2,Denmark,Australia,2,False,Mathew RYAN,10
Mile JEDINAK,38',300331518,1,Australia,Denmark,2,True,Kasper  SCHMEICHEL,15
Kylian MBAPPE,34',300331527,2,France,Peru,3,False,Pedro GALLESE,10
Ante REBIC,53',300331513,2,Croatia,Argentina,3,False,Wilfredo CABALLERO,18
Luka MODRIC,80',300331513,2,Croatia,Argentina,2,True,Wilfredo CABALLERO,10
Ivan RAKITIC,90'+1',300331513,2,Croatia,Argentina,2,False,Wilfredo CABALLERO,7
PHILIPPE COUTINHO,90'+1',300331540,2,Brazil,Costa Rica,2,False,Keylor NAVAS,11
NEYMAR,90'+7',300331540,2,Brazil,Costa Rica,3,False,Keylor NAVAS,10
Ahmed MUSA,49',300331497,2,Nigeria,Iceland,3,False,Hannes HALLDORSSON,7
Ahmed MUSA,75',300331497,2,Nigeria,Iceland,3,False,Hannes HALLDORSSON,7
Aleksandar MITROVIC,5',300340183,2,Serbia,Switzerland,3,False,Yann SOMMER,9
Granit XHAKA,52',300340183,2,Switzerland,Serbia,2,False,Vladimir STOJKOVIC,10
Xherdan SHAQIRI,90',300340183,2,Switzerland,Serbia,2,False,Vladimir STOJKOVIC,23
Eden HAZARD,6',300331547,1,Belgium,Tunisia,3,True,Farouk BEN MUSTAPHA,10
Romelu LUKAKU,16',300331547,2,Belgium,Tunisia,3,False,Farouk BEN MUSTAPHA,9
Romelu LUKAKU,45'+3',300331547,2,Belgium,Tunisia,3,False,Farouk BEN MUSTAPHA,9
Eden HAZARD,51',300331547,2,Belgium,Tunisia,3,True,Farouk BEN MUSTAPHA,10
Michy BATSHUAYI,90',300331547,2,Belgium,Tunisia,3,False,Farouk BEN MUSTAPHA,21
Dylan BRONN,18',300331547,2,Tunisia,Belgium,1,False,Thibaut COURTOIS,11
Wahbi KHAZRI,90'+3',300331547,2,Tunisia,Belgium,3,True,Thibaut COURTOIS,10
SON Heungmin,90'+3',300331549,2,Korea Republic,Mexico,3,False,Guillermo OCHOA,7
Carlos VELA,26',300331549,1,Mexico,Korea Republic,3,False,JO Hyeonwoo,11
