IdMatch,HomeTeamName,AwayTeamName,Attendance,MatchDay,Date,Stage,HomeTeamTactics,AwayTeamTactics,HomeTeamScore,AwayTeamScore,HomeTeamPenaltyScore,AwayTeamPenaltyScore,IsHomeMatch,MatchStatus,ResultType,StadiumName,Temperature,Humidity,WindSpeed,WeatherType,BallPossessionHome,BallPossessionAway,Winner
300331503,Russia,Saudi Arabia,78011,1,2018-06-14T15:00:00Z,First stage,4-2-3-1,4-5-1,5,0,0,0,,0,1,Luzhniki Stadium,17,43,6,Partly Cloudy,40.0,60.0,Russia
300353632,Egypt,Uruguay,27015,2,2018-06-15T12:00:00Z,First stage,4-2-3-1,4-4-2,0,1,0,0,,0,1,Ekaterinburg Arena,14,42,29,Partly Cloudy,43.0,57.0,Uruguay
300331526,Morocco,IR Iran,62548,2,2018-06-15T15:00:00Z,First stage,3-4-3,3-4-3,0,1,0,0,,0,1,Saint Petersburg Stadium,25,37,13,Partly Cloudy,64.0,36.0,IR Iran
300331524,Portugal,Spain,43866,2,2018-06-15T18:00:00Z,First stage,4-2-3-1,4-2-3-1,3,3,0,0,,0,1,Fisht Stadium,24,74,10,Partly Cloudy Night,39.0,61.0,
300331533,France,Australia,41279,3,2018-06-16T10:00:00Z,First stage,4-3-3,4-2-3-1,2,1,0,0,,0,1,Kazan Arena,19,32,19,Sunny,51.0,49.0,France
300331515,Argentina,Iceland,44190,3,2018-06-16T13:00:00Z,First stage,4-2-3-1,4-5-1,1,1,0,0,,0,1,Spartak Stadium,22,33,11,Sunny,72.0,28.0,
300331528,Peru,Denmark,40502,3,2018-06-16T16:00:00Z,First stage,4-2-3-1,4-3-3,0,1,0,0,,0,1,Mordovia Arena,18,48,12,Partly Cloudy,52.0,48.0,Denmark
300331523,Croatia,Nigeria,31136,3,2018-06-16T19:00:00Z,First stage,4-2-3-1,4-2-3-1,2,0,0,0,,0,1,Kaliningrad Stadium,20,64,7,Partly Cloudy,54.0,46.0,Croatia
300331529,Costa Rica,Serbia,41432,4,2018-06-17T12:00:00Z,First stage,5-4-1,4-2-3-1,0,1,0,0,,0,1,Samara Arena,22,32,18,Sunny,50.0,50.0,Serbia
300331502,Germany,Mexico,78011,4,2018-06-17T15:00:00Z,First stage,4-2-3-1,4-2-3-1,0,1,0,0,,0,1,Luzhniki Stadium,23,42,11,Sunny,60.0,40.0,Mexico
300331525,Brazil,Switzerland,43109,4,2018-06-17T18:00:00Z,First stage,4-2-3-1,4-2-3-1,1,1,0,0,,0,1,Rostov Arena,25,27,16,Partly Cloudy Night,52.0,48.0,
300331499,Sweden,Korea Republic,42300,5,2018-06-18T12:00:00Z,First stage,4-4-2,4-3-3,1,0,0,0,,0,1,Nizhny Novgorod Stadium,25,36,9,Partly Cloudy,52.0,48.0,Sweden
300331539,Belgium,Panama,43257,5,2018-06-18T15:00:00Z,First stage,3-4-2-1,4-5-1,3,0,0,0,,0,1,Fisht Stadium,24,71,12,Partly Cloudy,61.0,39.0,Belgium
300331554,Tunisia,England,41064,5,2018-06-18T18:00:00Z,First stage,4-3-3,3-5-2,1,2,0,0,,0,1,Volgograd Arena,24,17,7,Clear Night,41.0,59.0,England
